"V1","V2","V3","V4"
1889,0.710100489835491,0.915764465094877,4
1608,0.702938618414107,0.9090412014835,4
2873,0.815603378885516,0.322296852782332,6
2112,0.535407535741106,0.45574821125716,5
1789,0.694581150944344,0.889029784910266,4
1481,0.202345672780648,0.84093640614301,3
1576,0.707308575978166,0.899417452227423,4
2393,0.550679311603308,0.52762702839449,5
2049,0.516140559930354,0.489099839739501,5
1926,0.68649213766656,0.903040541956995,4
1106,0.201205957226921,0.474811903014779,3
2700,0.782660053659892,0.276547917873329,6
1893,0.713191936391727,0.904514185687442,4
2204,0.520210054274649,0.549710740391165,5
1152,0.20399938292685,0.602119532600045,3
2219,0.525993384178728,0.559013186777011,5
1258,0.204250098377233,0.702450811676681,3
1841,0.692696528845564,0.903746577148915,4
449,0.900356841682229,0.200011250194929,1
2563,0.797941864582969,0.298966016504443,6
2339,0.450346645554528,0.493205859148875,5
2550,0.773833950094455,0.262808035010902,0
630,0.805808435217362,0.196857751550443,2
2014,0.486746134469286,0.483789135208353,5
77,0.887104114203851,0.230305117976889,1
588,0.802940545633513,0.215058132937961,2
434,0.911878309716251,0.187720852042534,1
2309,0.453249357854947,0.470158290425316,5
610,0.799773402882845,0.226338569353116,2
2322,0.553352352464572,0.480286915386096,5
2175,0.533875732347369,0.559659377001226,5
2506,0.765403317072847,0.289204885335667,6
1815,0.696714091016124,0.901308829565783,4
2747,0.798356734435475,0.265296558777227,6
2374,0.506120075490326,0.447171409195289,5
1813,0.697787371990557,0.904422060190673,4
417,0.89746639712348,0.166788473550491,1
815,0.791498151361413,0.224454165891003,2
2601,0.791684230180221,0.297767394472852,6
2106,0.480699038477615,0.450775375822559,5
1691,0.70298828609635,0.900703612680872,4
356,0.919744840553563,0.225875332325661,1
665,0.797480440924246,0.201447043182208,2
607,0.822732631417555,0.1698954116325,2
200,0.898482630854832,0.22499682069582,1
143,0.932632604979459,0.187894845705015,1
1651,0.698942739747552,0.89506478982462,4
