"V1","V2","V3","V4"
4224,0.913102923193946,0.0747874430380762,0
3755,0.667220083065331,0.415846411138773,0
3196,0.769526129122823,0.288324818713591,6
4979,0.681880304124206,0.65192636824213,0
4206,0.336736949393526,0.069204373518005,0
3162,0.932960646925494,0.390061788726598,0
1276,0.200550315298606,0.612320378609002,3
3653,0.229119346244261,0.978751846821979,0
4869,0.411623124266043,0.94747430132702,0
2305,0.533067459361628,0.526500027505681,5
4338,0.644405292347074,0.457994442665949,0
386,0.918451725643513,0.208814936155031,1
3518,0.967612840933725,0.248990313848481,0
648,0.856040048789988,0.183845656397969,0
1763,0.6893496601348,0.881825823806405,0
78,0.89189869754803,0.216433839780863,1
1126,0.204472683302592,0.534076958522201,3
2987,0.825142713001818,0.294593395421549,6
2324,0.51991054800339,0.487978401584551,5
3250,0.49481843598187,0.539798284880817,5
4095,0.997856652829796,0.877748830709606,0
3406,0.574384849984199,0.537804565159604,0
4760,0.784413900692016,0.708506179274991,0
2124,0.443189796535298,0.532322189677507,5
1653,0.704495444757589,0.885610453259986,4
4632,0.324020332889631,0.191308906767517,0
1024,0.201938616301632,0.136900970153511,3
4226,0.876433050725609,0.830055448692292,0
1030,0.20235294033424,0.539793471246958,3
3717,0.827602131757885,0.265918618766591,0
2237,0.535709143802524,0.494885840648785,5
3772,0.757686897646636,0.839878503931686,0
3184,0.450064277509227,0.350017033750191,0
1159,0.20264991272008,0.362348452955484,3
2236,0.448472804771736,0.542627151887864,5
4656,0.920758152613416,0.633263967931271,0
3152,0.621068588458002,0.96243229880929,0
4642,0.392826331080869,0.906951444223523,0
2368,0.540731086852029,0.537292719306424,5
4691,0.97555011510849,0.908536109142005,0
2999,0.767567179551933,0.303798946672144,6
607,0.822732631417555,0.1698954116325,2
4564,0.308345079654828,0.648302419809625,0
3863,0.812256097327918,0.593456668313593,0
3718,0.361862194025889,0.199247357435524,0
2481,0.517724890196696,0.548729665726423,5
1902,0.698463883069822,0.902405179824125,4
1957,0.6888259256061,0.898372928710112,4
3026,0.197548812255263,0.81664528674446,0
4272,0.299442292656749,0.523518668487668,0
1812,0.686817627619318,0.88140016640896,0
2435,0.554213892808184,0.551271185586229,5
4722,0.262064690003172,0.545652049127966,0
795,0.815217986637584,0.187439727404774,2
4202,0.768929382320493,0.996035559801385,0
118,0.89222541457557,0.16180847491774,1
3119,0.793698740424588,0.991862760856748,0
4741,0.474740066565573,0.670687199570239,0
4582,0.977553830482066,0.895968976430595,0
3610,0.217364046256989,0.504032785305753,0
660,0.807346999010204,0.218995081179204,2
25,0.900769228471235,0.174904675279171,1
3814,0.153268170775846,0.527535192435607,0
3042,0.120127778733149,0.347350603202358,0
3046,0.0483542878646404,0.860442758072168,0
2473,0.539064467111602,0.463043654710054,5
843,0.76629679487322,0.187216685189177,2
1830,0.687408919071291,0.918834739831588,0
4676,0.867812722921371,0.536895962432027,0
2483,0.510240829419345,0.478056947849691,5
2989,0.804323522101599,0.303543342551663,6
262,0.916892077240146,0.171787971079257,1
589,0.829956387168387,0.211491967533709,2
2235,0.544956325842068,0.469219742408022,5
2544,0.791891951950212,0.280485547447646,6
905,0.799381041589592,0.210801997833332,2
4832,0.581699289847165,0.860597427003086,0
2641,0.771858367781941,0.271506115558727,0
746,0.800999303057914,0.214155267658946,2
4533,0.500433683861047,0.46050772164017,5
2935,0.790778520469803,0.308022497651719,6
2384,0.506031236145645,0.456547897849232,5
3523,0.118738239631057,0.191675575915724,0
1785,0.702249340318378,0.888129476955088,4
1147,0.20484232694027,0.22588737886399,3
382,0.907762468506309,0.169615371042164,1
3779,0.0273158415220678,0.863137051928788,0
903,0.810948771635032,0.210157916571875,2
2263,0.54415732097812,0.448011336438358,5
1165,0.200381833055289,0.117095163837075,3
3089,0.552077085478231,0.680638572201133,0
4012,0.325101719470695,0.116721024503931,0
4190,0.844111544080079,0.367737627821043,0
4428,0.248457244597375,0.0955338585190475,0
1991,0.702923312026107,0.903083184772168,4
3500,0.958965354599059,0.27574239554815,0
3681,0.123343626968563,0.537224316271022,0
1376,0.201308590669651,0.143049362115562,3
3324,0.0934313330799341,0.876286887098104,0
407,0.889292718284361,0.223094331935728,1
2469,0.515006723040715,0.467094147726893,5
2794,0.769699463954742,0.260303185696117,0
3627,0.992171990917996,0.139793895650655,0
3098,0.238744899164885,0.717675392515957,0
2296,0.514477595984936,0.546742766676471,5
4606,0.774495310848579,0.704978151014075,0
115,0.888076334129563,0.180401918338832,1
3878,0.114434871356934,0.539591969689354,0
3740,0.504949277499691,0.113319002324715,0
2797,0.80326683077495,0.301553681925095,6
4053,0.411677565425634,0.967514473944902,0
3520,0.798461551312357,0.0420198666397482,0
1085,0.203579988249112,0.248655111901462,3
2341,0.486680942149833,0.540894324081019,5
3002,0.536095107207075,0.513238775311038,5
688,0.799587249101054,0.183045790354161,2
2127,0.446717643607408,0.444727262184024,5
3060,0.169345364440233,0.306694051483646,0
3372,0.500532870413736,0.368399609811604,0
4308,0.780331242829561,0.713715573307127,0
2189,0.541169622074813,0.450960700986907,5
3258,0.527512018103153,0.717790718888864,0
731,0.82509104845069,0.211995864509067,2
168,0.898872282561083,0.19607719172596,1
4924,0.746525903465226,0.617657251656055,0
1410,0.201813625235809,0.388096554577351,3
4216,0.230139569379389,0.369007984176278,0
15,0.882318614570685,0.189558287667689,1
3744,0.964286704780534,0.670479492982849,0
328,0.889835356369456,0.197707746781791,1
4826,0.793662709183991,0.285257195821032,6
803,0.818013295606568,0.220845492359684,2
3875,0.743476795498282,0.128140000160784,0
4443,0.775628714356571,0.545789667172357,0
3576,0.0388693551067263,0.664171033073217,0
3752,0.485337986377999,0.0142873965669423,0
3672,0.181222088634968,0.567356933839619,0
259,0.924386618629694,0.195871936554699,1
4667,0.390715291257948,0.656666362425312,0
598,0.801966500031427,0.203583417883831,2
3223,0.606524630449712,0.584532159380615,0
439,0.849705998580606,0.218465936307544,0
171,0.909911567981163,0.181975373522523,1
3433,0.0157948809210211,0.828246926655993,0
126,0.878038201008805,0.166936677031025,1
3865,0.202667749952525,0.0634052522946149,0
4485,0.902179704746231,0.49029127205722,0
767,0.804398666277859,0.200797559413514,2
1985,0.688803925736993,0.899957403450849,4
2145,0.540498722111806,0.452261350853369,5
1145,0.202842263374478,0.148227539658546,3
4193,0.92292001680471,0.132824209984392,0
2564,0.775816229640254,0.278233874507884,6
3640,0.672657809453085,0.332406375557184,0
952,0.809872146096242,0.198998092201836,2
323,0.914267497622347,0.213834810682054,1
4213,0.67794478056021,0.212646574247628,0
4669,0.97431159648113,0.305750738829374,0
3204,0.237533178413287,0.432880182517692,0
2172,0.544284494286403,0.468952652616426,5
934,0.767932214605419,0.177827387584159,2
3937,0.0799633138813078,0.970649891765788,0
4982,0.262785388622433,0.176962567027658,0
1121,0.204110327417729,0.192916590347886,3
2976,0.802011971333861,0.300093982644872,6
4513,0.610480169067159,0.87764956546016,0
